ID,Day,Month,Hour,Weekend,Week,CropType,WaterNeed,SoilType,Moisture_Norm,Temp_Norm
1464,1,1,0,0,53,1,0.7365360373494175,1,0.23185818899540472,0.689127376866651
1465,1,1,1,0,53,1,0.6728122467462541,1,0.4654730551994569,0.8802401996648207
1466,1,1,2,0,53,1,0.6676197886738915,1,0.3359747309392374,0.6730115680935846
1467,1,1,3,0,53,1,0.6074011333560889,1,0.3451377856939026,0.5362095119310762
1468,1,1,4,0,53,1,0.8604730345910081,1,0.19364852919804248,0.941655380274584
1469,1,1,5,0,53,1,0.6310739589174188,1,0.467781359447549,0.7793569364648707
1470,1,1,6,0,53,1,0.5135492573831975,1,0.3907168278205878,0.36994838518887535
1471,1,1,7,0,53,1,0.8503557005169144,1,0.13107884499407058,0.8225075187833917
1472,1,1,8,0,53,1,0.8565624432862387,1,0.1424164677532353,0.8550308098454497
1473,1,1,9,0,53,1,0.484115799122129,1,0.6855590708188907,0.7386281040336584
1474,1,1,10,0,53,1,0.7912003315937782,1,0.24282874445235364,0.8422439456629759
1475,1,1,11,0,53,1,0.42870040843126955,1,0.6621307804411223,0.5649471917398574
1476,1,1,12,0,53,1,0.667251114136211,1,0.34284954516366817,0.6824021030860298
1477,1,1,13,0,53,1,0.7883163965118802,1,0.19645393288939886,0.7654718906137989
1478,1,1,14,0,53,1,0.8940407895493003,1,0.09246491969343032,0.8737993534133962
1479,1,1,15,0,53,1,0.7817391857042346,1,0.2634635492068608,0.8495432880708779
1480,1,1,16,0,53,1,0.6902299484350778,1,0.22291501439489622,0.5599473926800389
1481,1,1,17,0,53,1,0.8435050735793799,1,0.10775093623392153,0.7703890882993317
1482,1,1,18,0,53,1,0.37533712537793906,1,0.6607009782684331,0.4293942808474972
1483,1,1,19,0,53,1,0.5868390757214155,1,0.24632314239225023,0.3365824028919142
1484,1,1,20,0,53,1,0.7944896678653319,1,0.1810523211776957,0.7578026514298735
1485,1,1,21,0,53,1,0.7180821054582645,1,0.14126620084271477,0.5071045649097333
1486,1,1,22,0,53,1,0.8130923910004567,1,0.2305237694866874,0.8785166317311729
1487,1,1,23,0,53,1,0.7136529994758878,1,0.2222419133369342,0.6174953686951208
1488,2,1,0,1,53,1,0.7682710561813155,1,0.07361003548968385,0.5310926936878145
1489,2,1,1,1,53,1,0.6408505011181794,1,0.20770543294958607,0.4136844022198277
1490,2,1,2,1,53,1,0.6886795294501602,1,0.26684220203704684,0.6219621266809708
1491,2,1,3,1,53,1,0.7739189932625983,1,0.2707481816687282,0.840919755659588
1492,2,1,4,1,53,1,0.5720183405391069,1,0.2649194684118216,0.3274250539654998
1493,2,1,5,1,53,1,0.7742334372718522,1,0.14417978689882557,0.651853273527869
1494,2,1,6,1,53,1,0.6411841081391203,1,0.20063272424082254,0.40390935670903444
1495,2,1,7,1,53,1,0.4023078881625096,1,0.6266361274402837,0.4457239115666996
1496,2,1,8,1,53,1,0.40478163324916405,1,0.8245052941977458,0.7487120244195288
1497,2,1,9,1,53,1,0.698102766269127,1,0.19790475682886316,0.5421140509161124
1498,2,1,10,1,53,1,0.7457496421386622,1,0.18763407955814265,0.6458252246838696
1499,2,1,11,1,53,1,0.7807464228291641,1,0.18287470522175575,0.726178114905544
1500,2,1,12,1,53,1,0.8739039904979229,1,0.14011058502502086,0.8949258537823382
1501,2,1,13,1,53,1,0.8326082844760732,1,0.17576208030966547,0.845163831654681
1502,2,1,14,1,53,1,0.7257341700795445,1,0.2820102261003757,0.7373507643494248
1503,2,1,15,1,53,1,0.8376187545914875,1,0.11956631277235247,0.7733963556372474
1504,2,1,16,1,53,1,0.8082462248089076,1,0.2201931800969855,0.8509053321677473
1505,2,1,17,1,53,1,0.8167820606972909,1,0.23375670327087272,0.8925902066495363
1506,2,1,18,1,53,1,0.610484254653884,1,0.6331666388481374,0.9759605949069161
1507,2,1,19,1,53,1,0.8648309045080309,1,0.1345337941629294,0.8638779525144716
1508,2,1,20,1,53,1,0.5824802380063242,1,0.5391022131171627,0.7648539146915544
1509,2,1,21,1,53,1,0.7214268320202515,1,0.38311097924639603,0.8782335489202227
1510,2,1,22,1,53,1,0.5527691590509639,1,0.5492184986194296,0.7057506455565542
1511,2,1,23,1,53,1,0.4936131492245519,1,0.5208410673345556,0.515294474063213
1512,3,1,0,1,53,1,0.6845960288490964,1,0.47391243667837557,0.9223587271403042
